unique_key,created_date,closed_date,resolution_action_updated_date,status,status_notes,agency_name,category,complaint_type,status_notes_1,incident_address,supervisor_district,neighborhood,location,source,media_url,latitude,longitude,police_district,year,month,month_name,day_of_week,hour,resolution_days
2494628,2013-06-15 04:48:32+00:00,2013-06-18 10:41:14+00:00,2013-06-18 10:41:14+00:00,Closed,Case Transferred - Psr # 433728,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred - psr # 433728,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2013,6,Jun,Saturday,4,3.2449305555555554
9614468,2018-10-01 09:30:52+00:00,2018-10-18 12:44:47+00:00,2018-10-18 12:44:47+00:00,Closed,Case Transferred - Customer May Follow Up With Muni Customer Service If Desired At 415.701.5649 Or Municustomerservice@Sfmta.Com,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred - Customer may follow up with Muni Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2018,10,Oct,Monday,9,17.134664351851853
5015516,2015-08-19 08:08:12+00:00,2015-08-31 12:10:01+00:00,2015-08-31 12:10:01+00:00,Closed,Case Transferred,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2015,8,Aug,Wednesday,8,12.167928240740741
6089485,2016-07-17 06:59:10+00:00,2016-07-18 04:48:12+00:00,2016-07-18 04:48:12+00:00,Closed,Case Transferred,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2016,7,Jul,Sunday,6,0.909050925925926
5920878,2016-05-29 06:28:32+00:00,2016-06-01 10:06:38+00:00,2016-06-01 10:06:38+00:00,Closed,Case Transferred,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2016,5,May,Sunday,6,3.1514583333333333
5013477,2015-08-19 11:25:53+00:00,2015-09-01 09:29:14+00:00,2015-09-01 09:29:14+00:00,Closed,Case Transferred,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2015,8,Aug,Wednesday,11,12.918993055555555
4990526,2015-08-11 11:42:50+00:00,2019-01-03 10:55:39+00:00,2019-01-03 10:55:39+00:00,Closed,Not Scheduled - Administrative Closure,311 Ssp Inbound Qa Queue,Muni Feedback,Muni  -,Not Scheduled - Administrative Closure,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2015,8,Aug,Tuesday,11,1240.9672337962963
1091965,2012-03-26 07:56:52+00:00,2012-04-02 10:23:04+00:00,2012-04-02 10:23:04+00:00,Closed,Dpt Abandoned Vehicles - Gone On Arrival,Dpt Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Other,DPT Abandoned Vehicles - Gone on Arrival,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2012,3,Mar,Monday,7,7.101527777777778
9124375,2018-06-11 07:17:30+00:00,2020-03-06 05:31:58+00:00,2020-03-06 05:31:58+00:00,Closed,Case Transferred - Transferred To Muni Passenger Services,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred - Transferred to Muni Passenger Services,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2018,6,Jun,Monday,7,633.9267129629629
9116916,2018-06-10 06:50:21+00:00,2020-03-06 05:31:58+00:00,2020-03-06 05:31:58+00:00,Closed,Case Transferred - Transferred To Muni Passenger Services,Ssp - Mta Feedback Queue,Muni Feedback,Muni  -,Case Transferred - Transferred to Muni Passenger Services,Not associated with a specific address,,None,"(0.0, 0.0)",Web,,0.0,0.0,,2018,6,Jun,Sunday,6,634.9455671296296
